"firstName";"lastName";"birthDate";"genderId";"gradeId";"clubName";"weight";"nationalityId";"email"
"Crystal";"ANDERSON";"1989-08-02";"2";"7";"FCN";"69";"73";"c.anderson@email.com"
"Emily";"WHITE";"1991-08-20";"2";"5";"TFC";"75";"73";"e.white@email.com"
"Lauren";"NELSON";"2001-09-20";"1";"5";"PSG";"52";"73";"l.nelson@email.com"
"John";"TORRES";"1991-11-19";"1";"7";"LOSC";"93";"73";"j.torres@email.com"
"Nathan";"DAVIS";"2006-11-01";"1";"8";"SRFC";"74";"73";"n.davis@email.com"
"Charles";"EVANS";"1996-07-28";"1";"5";"TFC";"75";"73";"c.evans@email.com"
"Regina";"LARSEN";"2000-12-29";"2";"8";"TFC";"92";"73";"r.larsen@email.com"
"Patricia";"ROBINSON";"1972-07-30";"2";"5";"ASM";"60";"73";"p.robinson@email.com"
"Mark";"ALLEN";"1978-11-09";"1";"5";"LOSC";"85";"73";"m.allen@email.com"
"Steven";"GUERRERO";"2004-03-19";"1";"5";"ASSE";"50";"73";"s.guerrero@email.com"
"Paul";"WRIGHT";"1990-08-03";"1";"6";"ASSE";"72";"73";"p.wright@email.com"
"Felicia";"FREEMAN";"1990-12-14";"2";"6";"PSG";"68";"73";"f.freeman@email.com"
"Eric";"LOPEZ";"2001-10-03";"1";"8";"RCL";"56";"73";"e.lopez@email.com"
"Philip";"MORRISON";"1992-02-02";"1";"7";"OM";"68";"73";"p.morrison@email.com"
"Sherri";"LOPEZ";"1989-09-09";"2";"8";"SRFC";"56";"73";"s.lopez@email.com"
"Omar";"WARREN";"1987-09-21";"1";"6";"PSG";"68";"73";"o.warren@email.com"
"Louis";"GLENN";"1991-04-26";"1";"7";"ASSE";"74";"73";"l.glenn@email.com"
"Donald";"HAHN";"1987-10-18";"1";"5";"TFC";"56";"73";"d.hahn@email.com"
"Angela";"MITCHELL";"1988-11-06";"2";"5";"ASM";"54";"73";"a.mitchell@email.com"
"Dale";"MCKINNEY";"2002-05-13";"1";"6";"ASM";"61";"73";"d.mckinney@email.com"
"Paul";"DOUGLAS";"1999-07-09";"1";"6";"RCL";"98";"73";"p.douglas@email.com"
"Bobby";"JACKSON";"2005-06-28";"1";"5";"ASSE";"87";"73";"b.jackson@email.com"
"Lisa";"KING";"1986-05-14";"2";"8";"RCL";"58";"73";"l.king@email.com"
"Ronald";"CORTEZ";"1997-10-10";"1";"7";"SRFC";"56";"73";"r.cortez@email.com"
"Nancy";"STEWART";"1987-04-23";"2";"6";"ASSE";"67";"73";"n.stewart@email.com"
"Robert";"NELSON";"1968-12-12";"1";"6";"OM";"88";"73";"r.nelson@email.com"
"Laura";"RILEY";"2003-05-08";"2";"8";"TFC";"85";"73";"l.riley@email.com"
"Michael";"RANDOLPH";"1985-01-26";"1";"5";"SRFC";"91";"73";"m.randolph@email.com"
"Sarah";"EDWARDS";"1982-06-05";"2";"8";"LOSC";"62";"73";"s.edwards@email.com"
"Hector";"PERRERA";"2005-03-11";"1";"7";"psg";"72";"73";"h.perrera@email.com"
"Samuel";"MUELLER";"1997-05-18";"1";"8";"SRFC";"83";"73";"s.mueller@email.com"
"William";"BOONE";"2000-03-16";"1";"5";"LOSC";"78";"73";"w.boone@email.com"
"Erica";"MORALES";"2002-01-16";"2";"5";"OM";"58";"73";"e.morales@email.com"
"Paula";"HOLLOWAY";"1989-03-08";"2";"5";"RCL";"52";"73";"p.holloway@email.com"
"Amanda";"WU";"2004-03-09";"2";"5";"LOSC";"57";"73";"a.wu@email.com"
"David";"ANDERSON";"1996-04-12";"1";"8";"PSG";"85";"73";"d.anderson@email.com"
"Jennifer";"ADAMS";"1981-10-07";"2";"5";"ASM";"59";"73";"j.adams@email.com"
"Timothy";"PARRISH";"1991-02-11";"1";"8";"ASSE";"93";"73";"t.parrish@email.com"
"Florian";"GUERRIN";"2002-03-11";"1";"7";"OL";"70";"73";"f.guerrin@email.com"
"Alex";"RIVERA";"1984-09-09";"1";"6";"ASM";"56";"73";"a.rivera@email.com"
"Suzanne";"CHAVEZ";"1995-11-29";"2";"7";"ASM";"92";"73";"s.chavez@email.com"
"Richard";"LEWIS";"1965-03-22";"1";"8";"OM";"82";"73";"r.lewis@email.com"
"James";"GREEN";"1970-01-01";"1";"8";"OL";"80";"73";"j.green@email.com"
"Nathan";"BAKER";"1995-02-13";"1";"5";"ASM";"61";"73";"n.baker@email.com"
"Thomas";"COLLINS";"1974-09-10";"1";"7";"RCL";"79";"73";"t.collins@email.com"
"Daniel";"WALKER";"1993-04-18";"1";"7";"SRFC";"77";"73";"d.walker@email.com"
"Susan";"PATTERSON";"2001-09-22";"2";"7";"ASSE";"51";"73";"s.patterson@email.com"
"Jessica";"SCOTT";"1994-02-20";"2";"7";"PSG";"63";"73";"j.scott@email.com"
"Jamie";"PALMER";"1984-03-09";"1";"8";"ASSE";"54";"73";"j.palmer@email.com"
"Christopher";"ORTEGA";"1998-10-08";"1";"8";"ASM";"68";"73";"c.ortega@email.com"
"Matthew";"BAILEY";"2006-11-07";"1";"6";"OL";"74";"73";"m.bailey@email.com"
"Maria";"HALL";"1977-03-19";"2";"7";"SRFC";"64";"73";"m.hall@email.com"
"Collin";"STANLEY";"1986-01-04";"1";"6";"OM";"100";"73";"c.stanley@email.com"
"Joseph";"LIVINGSTON";"2004-03-05";"1";"5";"ASSE";"83";"73";"j.livingston@email.com"
"Karen";"YOUNG";"1983-12-25";"2";"6";"TFC";"70";"73";"k.young@email.com"
"Linda";"CLARK";"1980-09-12";"2";"6";"PSG";"65";"73";"l.clark@email.com"
"George";"HARRIS";"1975-06-15";"1";"7";"ASSE";"76";"73";"g.harris@email.com"
"Sharon";"HOWARD";"1990-11-02";"2";"5";"ASM";"58";"73";"s.howard@email.com"
